Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
SBISIL,SBI SILVER ETF,INF200KB1217,Buy,2,267.47,1.39,0.02,0.00,TT,STT Paid,icicidirect,14-Jan-2026,NSE,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,Buy,1,431.65,3.82,0.01,0.06,TT,STT Paid,icicidirect,07-Aug-2023,NSE,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,Buy,1,365.00,0.95,0.01,0.00,TT,STT Paid,icicidirect,23-Feb-2024,NSE,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,Sell,1,489.60,1.27,0.01,0.00,TT,STT Paid,icicidirect,02-Jul-2024,BSE,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,Sell,1,735.00,1.91,0.02,0.00,TT,STT Paid,icicidirect,04-Nov-2024,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Buy,2,95.00,1.68,0.01,0.00,TT,STT Paid,icicidirect,31-Jul-2023,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Sell,1,114.50,1.01,0.00,0.00,TT,STT Paid,icicidirect,04-Oct-2023,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Buy,1,88.99,0.23,0.00,0.00,TT,STT Paid,icicidirect,13-May-2024,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Buy,8,82.00,1.71,0.02,0.00,TT,STT Paid,icicidirect,03-Jun-2024,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Sell,1,95.20,0.25,0.00,0.00,TT,STT Paid,icicidirect,18-Jul-2024,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Sell,5,98.25,1.28,0.01,0.00,TT,STT Paid,icicidirect,02-Aug-2024,BSE,
SRERAY,TGV SRAAC LIMITED,INE284B01028,Sell,1,116.30,0.30,0.00,0.00,TT,STT Paid,icicidirect,11-Nov-2024,BSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Buy,2,572.80,10.15,0.04,0.00,TT,STT Paid,icicidirect,28-Aug-2023,NSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Buy,2,565.00,10.01,0.04,0.00,TT,STT Paid,icicidirect,31-Aug-2023,NSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Sell,1,600.00,5.31,0.02,0.00,TT,STT Paid,icicidirect,04-Oct-2023,NSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Sell,1,659.40,1.72,0.02,0.00,TT,STT Paid,icicidirect,20-Dec-2023,BSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Sell,1,773.00,2.01,0.02,0.00,TT,STT Paid,icicidirect,22-Feb-2024,BSE,
STABAN,STATE BANK OF INDIA,INE062A01020,Sell,1,836.25,2.18,0.02,0.00,TT,STT Paid,icicidirect,02-Jul-2024,BSE,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,Buy,42,357.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,20-Dec-2022,NSE,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,Sell,38,338.45,83.52,0.30,0.00,TT,STT Paid,icicidirect,23-Dec-2022,NSE,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,Sell,2,332.00,5.88,0.02,0.00,TT,STT Paid,icicidirect,23-Dec-2022,NSE,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,Sell,2,520.00,9.21,0.03,0.00,TT,STT Paid,icicidirect,31-Jul-2023,BSE,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,Buy,46,326.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,10-Oct-2025,NSE,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,Sell,1,354.35,0.92,0.01,0.00,TT,STT Paid,icicidirect,07-Jan-2026,BSE,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,Buy,3,373.45,2.91,0.04,0.00,TT,STT Paid,icicidirect,05-Jan-2026,NSE,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,Buy,3,361.20,2.82,0.03,0.16,TT,STT Paid,icicidirect,07-Jan-2026,NSE,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,Buy,3,345.30,2.70,0.03,0.16,TT,STT Paid,icicidirect,19-Jan-2026,NSE,
TATSTE,TATA STEEL LIMITED,INE081A01020,Buy,1,172.81,0.45,0.01,0.03,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
TCM,TCM LTD,INE034F01010,Buy,2,36.50,0.66,0.07,0.00,TT,STT Paid,icicidirect,31-Jul-2023,BSE,
TCM,TCM LTD,INE034F01010,Sell,2,54.60,0.99,0.11,0.00,TT,STT Paid,icicidirect,20-Oct-2023,BSE,
TRILTD,TRIDENT LTD,INE064C01022,Buy,2,20.70,0.37,0.00,0.00,Rolling,STT Paid,icicidirect,17-Aug-2021,BSE,
TRILTD,TRIDENT LTD,INE064C01022,Sell,2,46.00,0.81,0.00,0.00,Rolling,STT Paid,icicidirect,12-May-2022,NSE,
TRILTD,TRIDENT LTD,INE064C01022,Buy,1,39.00,0.10,0.00,0.00,TT,STT Paid,icicidirect,25-Jun-2024,BSE,
TRILTD,TRIDENT LTD,INE064C01022,Buy,4,35.13,0.37,0.00,0.02,TT,STT Paid,icicidirect,04-Nov-2024,NSE,
