Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
POWINF,POWERGRID INFRA. INVEST. TRUST,INE0GGX23010,7,81.76,91.70,- 1.65,572.32,641.90,0.00,69.58,12.16,
PUNBAN,PUNJAB NATIONAL BANK,INE160A01022,0,0.00,120.15,- 4.00,0.00,0.00,45.92,0.00,0.00,
RAJEXP,RAJESH EXPORTS LIMITED,INE343B01030,16,291.18,163.18,- 0.76,4658.88,2610.88,0.00,-2048.00,(43.96),
REFIND,REFEX INDUSTRIES LIMITED,INE056I01025,0,0.00,222.75,- 4.81,0.00,0.00,47.42,0.00,0.00,
RELIND,RELIANCE INDUSTRIES,INE002A01018,5,1487.23,1386.10,- 1.17,7436.15,6930.50,188.50,-505.65,(6.80),
RELNIP,NIPPON LIFE IND ASSET MANAGEME,INE298J01013,0,0.00,823.95,- 2.23,0.00,0.00,396.44,0.00,0.00,
RKSWA,R K SWAMY LIMITED,INE0NQ801033,3,242.27,106.09,+ 1.11,726.81,318.27,0.00,-408.54,(56.21),
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,5,150.82,149.03,- 1.73,754.10,745.15,54.07,-8.95,(1.19),
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,12,700.44,770.55,- 2.35,8405.28,9246.60,255.14,841.32,10.01,
SBIGOL,SBI-ETF GOLD,INF200KA16D8,10,117.08,131.51,+ 2.24,1170.80,1315.10,0.00,144.30,12.32,
SBISIL,SBI SILVER ETF,INF200KB1217,3,261.02,301.64,+ 5.52,783.06,904.92,3048.49,121.86,15.56,
SHACRO,SHARDA CROPCHEM LIMITED,INE221J01015,0,0.00,806.35,- 3.46,0.00,0.00,419.88,0.00,0.00,
SRERAY,TGV SRAAC LIMITED,INE284B01028,3,82.22,91.00,- 1.25,246.66,273.00,122.39,26.34,10.68,
STABAN,STATE BANK OF INDIA,INE062A01020,0,0.00,1029.50,- 1.80,0.00,0.00,561.52,0.00,0.00,
SULVIN,SULA VINEYARDS LIMITED,INE142Q01026,0,0.00,193.96,- 0.20,0.00,0.00,(527.86),0.00,0.00,
TATCAP,TATA CAPITAL LIMITED,INE976I01016,45,326.00,351.75,- 1.80,14670.00,15828.75,27.42,1158.75,7.90,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,9,360.97,344.45,- 0.82,3248.73,3100.05,0.00,-148.68,(4.58),
TATSTE,TATA STEEL LIMITED,INE081A01020,1,173.30,187.61,- 0.79,173.30,187.61,0.00,14.31,8.26,
TCM,TCM LTD,INE034F01010,0,0.00,53.00,+ 0.57,0.00,0.00,34.37,0.00,0.00,
TRILTD,TRIDENT LTD,INE064C01022,25,27.26,25.36,- 2.91,681.50,634.00,49.42,-47.50,(6.97),
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,5,53.71,43.63,- 5.48,268.55,218.15,14.86,-50.40,(18.77),
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,0,0.00,36.23, 0.00,0.00,0.00,29.06,0.00,0.00,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,5,23.57,20.38,- 0.92,117.85,101.90,70.67,-15.95,(13.53),
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,10,243.33,219.22,+ 2.06,2433.30,2192.20,40.59,-241.10,(9.91),
VEDLIM,VEDANTA LIMITED,INE205A01025,0,0.00,684.15,+ 0.81,0.00,0.00,381.19,0.00,0.00,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,0,0.00,121.58,- 1.13,0.00,0.00,(921.73),0.00,0.00,
WIPRO,WIPRO LTD,INE075A01022,18,233.35,238.40,- 0.93,4200.30,4291.20,(1425.70),90.90,2.16,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,130,25.75,31.23,+ 6.26,3347.50,4059.90,0.00,712.40,21.28,
ZOMLIM,ETERNAL LIMITED,INE758T01015,0,0.00,258.70,- 6.23,0.00,0.00,180.46,0.00,0.00,
