Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,6,368.32,354.15,- 1.47,2209.92,2124.90,0.00,-85.02,(3.85),
TATSTE,TATA STEEL LIMITED,INE081A01020,1,173.30,178.40,- 0.95,173.30,178.40,0.00,5.10,2.94,
TCM,TCM LTD,INE034F01010,0,0.00,60.01,+ 0.02,0.00,0.00,34.37,0.00,0.00,
TRILTD,TRIDENT LTD,INE064C01022,25,27.26,26.19,- 3.39,681.50,654.75,49.42,-26.75,(3.93),
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,5,53.71,45.98,- 4.37,268.55,229.90,14.86,-38.65,(14.39),
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,0,0.00,36.23, 0.00,0.00,0.00,29.06,0.00,0.00,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,5,23.57,22.81,+ 1.60,117.85,114.05,70.67,-3.80,(3.22),
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,10,243.33,222.66,- 2.33,2433.30,2226.60,40.59,-206.70,(8.49),
VEDLIM,VEDANTA LIMITED,INE205A01025,0,0.00,609.85,+ 1.05,0.00,0.00,381.19,0.00,0.00,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,0,0.00,134.17,+ 0.76,0.00,0.00,(921.73),0.00,0.00,
WIPRO,WIPRO LTD,INE075A01022,18,233.35,261.95,- 0.10,4200.30,4715.10,(1425.70),514.80,12.26,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,100,25.07,24.40,+ 2.65,2507.00,2440.00,0.00,-67.00,(2.67),
ZOMLIM,ETERNAL LIMITED,INE758T01015,0,0.00,284.35,+ 0.28,0.00,0.00,180.46,0.00,0.00,
